Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
exact_001.gr,1921,117.03,1800.98
exact_002.gr,1921,93.8,1799.57
exact_003.gr,1921,15.19,1800.96
exact_004.gr,1920,434.54,1799.58
exact_005.gr,1921,92.81,1798.05
exact_006.gr,1921,98.99,1800.92
exact_007.gr,1920,194.64,1799.22
exact_008.gr,1921,81.33,1802.61
exact_009.gr,1921,65.76,1799.22
exact_010.gr,1921,8.86,1799.96
exact_011.gr,1441,18.94,1799.59
exact_012.gr,1440,14.49,1799.42
exact_013.gr,1920,187.38,1799.41
exact_014.gr,1440,169.47,1801.6
exact_015.gr,1440,1124.97,1800.72
exact_016.gr,1440,17.25,1799.02
exact_017.gr,429,29.07,1799.01
exact_018.gr,491,4.91,1802.41
exact_019.gr,531,125.29,1797.32
exact_020.gr,1274,11.91,1801.06
exact_021.gr,1151,8.31,1799.41
exact_022.gr,902,33,1800.66
exact_023.gr,1312,12.54,1799.7
exact_024.gr,1921,24.41,1800.81
exact_025.gr,1754,471.31,1800.95
exact_026.gr,1295,8.14,1798.03
exact_027.gr,2548,46.36,1802.34
exact_028.gr,4868,101.34,1799.75
exact_029.gr,4132,23.04,1799.42
exact_030.gr,5824,1379.66,1799.59
exact_031.gr,2153,304.52,1799.19
exact_032.gr,5856,395.78,1800.41
exact_033.gr,5561,891.52,1802.51
exact_034.gr,5847,1646.83,1799.58
exact_035.gr,1921,42.45,1799.57
exact_036.gr,5887,935.71,1800.96
exact_037.gr,5915,1130.44,1799.42
exact_038.gr,295,0.03,1798.04
exact_039.gr,6688,5.18,1802.84
exact_040.gr,4495,0.95,1799.99
exact_041.gr,1297,34.11,1802.35
exact_042.gr,4091,1068.81,1799.42
exact_043.gr,1220,5.82,1800.96
exact_044.gr,5010,281.32,1797.74
exact_045.gr,2419,922.11,1802.35
exact_046.gr,1921,485.59,1799.59
exact_047.gr,1921,52.32,1799.57
exact_048.gr,1921,10.18,1799.58
exact_049.gr,1921,342.65,1800.97
exact_050.gr,1920,20.59,1800.96
