Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
exact_001.gr,1921,88.16,1810.23
exact_002.gr,1921,86.48,1806.53
exact_003.gr,1921,13.39,1806.65
exact_004.gr,1920,311.66,1809.74
exact_005.gr,1921,78.8,1806.11
exact_006.gr,1921,77.55,1809.84
exact_007.gr,1920,164.59,1806.16
exact_008.gr,1921,66.62,1809.78
exact_009.gr,1921,53.88,1806.19
exact_010.gr,1921,7.77,1810.27
exact_011.gr,1441,17.28,1803.63
exact_012.gr,1440,13.56,1803.64
exact_013.gr,1920,174.24,1810.55
exact_014.gr,1440,159.86,1803.6
exact_015.gr,1440,1023.83,1807.05
exact_016.gr,1440,19,1804.54
exact_017.gr,387,4.4,1801.68
exact_018.gr,458,6.98,1800.12
exact_019.gr,480,39.51,1800.12
exact_020.gr,1070,55.99,1806.98
