Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,12.25
exact_002.gr,1920,3.22
exact_003.gr,1920,19.06
exact_004.gr,1920,158.14
exact_005.gr,1920,9.74
exact_006.gr,1920,1.7
exact_007.gr,1920,14.8
exact_008.gr,1920,8.89
exact_009.gr,1920,24.4
exact_010.gr,1920,8.85
exact_011.gr,1440,7.76
exact_012.gr,1440,2.58
exact_013.gr,1920,2.38
exact_014.gr,1440,5.53
exact_015.gr,1440,1.63
exact_016.gr,1440,1.04
exact_017.gr,428,18.45
exact_018.gr,491,24.14
exact_019.gr,530,31.49
exact_020.gr,1274,9.81
exact_021.gr,1149,22.75
exact_022.gr,902,23.58
exact_023.gr,1312,13.95
exact_024.gr,1920,3.11
exact_025.gr,1752,26.73
exact_026.gr,1295,48.37
exact_027.gr,2546,38.17
exact_028.gr,4863,10.97
exact_029.gr,4128,5.76
exact_030.gr,5819,9.89
exact_031.gr,2151,58.31
exact_032.gr,5845,46.29
