Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,13.15
exact_002.gr,1920,11.79
exact_003.gr,1920,54.18
exact_004.gr,1920,14.82
exact_005.gr,1920,94.94
exact_006.gr,1920,8.11
exact_007.gr,1920,126.73
exact_008.gr,1920,47.25
exact_009.gr,1920,197.88
exact_010.gr,1920,1.1
exact_011.gr,1440,3.14
exact_012.gr,1440,2.11
exact_013.gr,1920,3.15
exact_014.gr,1440,6.67
exact_015.gr,1440,32.22
exact_016.gr,1440,14.97
exact_017.gr,428,156.83
exact_018.gr,491,193.91
exact_019.gr,530,39.79
exact_020.gr,1274,26.2
exact_021.gr,1149,92.52
exact_022.gr,902,54.42
exact_023.gr,1312,16.7
exact_024.gr,1920,33.52
exact_025.gr,1752,135.29
exact_026.gr,1295,183.62
exact_027.gr,2546,66.65
exact_028.gr,4863,8.94
exact_029.gr,4128,10.03
exact_030.gr,5819,19.33
exact_031.gr,2151,87.22
exact_032.gr,5845,37.73
exact_033.gr,
exact_034.gr,
exact_035.gr,1920,10.65
exact_036.gr,5876,120.57
exact_037.gr,
exact_038.gr,295,3.78
exact_039.gr,6688,5.02
exact_040.gr,4495,9.36
exact_041.gr,1297,4.38
exact_042.gr,4086,6.83
exact_043.gr,1220,1.27
exact_044.gr,5005,13.03
exact_045.gr,2417,3.41
exact_046.gr,1920,15
exact_047.gr,1920,220.22
exact_048.gr,1920,121.05
exact_049.gr,1920,266.23
exact_050.gr,1920,8.47
exact_051.gr,
exact_052.gr,437,288.23
exact_053.gr,174,16.02
exact_054.gr,194,7.17
exact_055.gr,2349,63.88
exact_056.gr,
exact_057.gr,
exact_058.gr,
exact_059.gr,1182,178.39
exact_060.gr,281,137.17
exact_061.gr,193,18.63
exact_062.gr,1640,336.32
exact_063.gr,
exact_064.gr,1536,191.28
exact_065.gr,1750,57.54
exact_066.gr,
exact_067.gr,
exact_068.gr,756,418.3
exact_069.gr,
exact_070.gr,1616,178.39
exact_071.gr,
exact_072.gr,
exact_073.gr,135,1.82
exact_074.gr,1942,63.67
exact_075.gr,
exact_076.gr,
exact_077.gr,1105,201.82
exact_078.gr,171,10.42
exact_079.gr,172,10.68
exact_080.gr,1224,218.29
exact_081.gr,
exact_082.gr,784,30.61
exact_083.gr,
exact_084.gr,800,246.27
exact_085.gr,191,8.99
exact_086.gr,394,154.86
exact_087.gr,700,146.81
exact_088.gr,
exact_089.gr,286,66.38
exact_090.gr,680,262.25
exact_091.gr,1068,190.65
exact_092.gr,
exact_093.gr,
exact_094.gr,1174,75
exact_095.gr,290,116.57
exact_096.gr,287,42.57
exact_097.gr,
exact_098.gr,1472,114.7
exact_099.gr,156,5.89
exact_100.gr,
