Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,379.16
exact_002.gr,1920,18.86
exact_003.gr,1920,29.12
exact_004.gr,1920,504.32
exact_005.gr,1920,85.4
exact_006.gr,1920,7.58
exact_007.gr,1920,162.53
exact_008.gr,1920,45.27
exact_009.gr,1920,109.89
exact_010.gr,1920,1.04
exact_011.gr,1440,2.23
exact_012.gr,1440,2.34
exact_013.gr,1920,4.21
exact_014.gr,1440,101.5
exact_015.gr,1440,7.2
exact_016.gr,1440,20.23
exact_017.gr,386,148.5
exact_018.gr,458,129.59
exact_019.gr,479,107.51
exact_020.gr,1070,24.05
exact_021.gr,1008,62.74
exact_022.gr,758,46.3
exact_023.gr,1122,12.67
exact_024.gr,1920,14.08
exact_025.gr,1399,541.35
exact_026.gr,1069,749.25
exact_027.gr,2069,156.22
exact_028.gr,3847,8.16
exact_029.gr,3232,5.6
exact_030.gr,4719,23.42
exact_031.gr,1780,83.98
exact_032.gr,4646,61.08
exact_033.gr,
exact_034.gr,
exact_035.gr,1920,53.03
exact_036.gr,4849,160.13
exact_037.gr,
exact_038.gr,217,4.2
exact_039.gr,3134,0.28
exact_040.gr,
exact_041.gr,1104,4.36
exact_042.gr,3185,5.53
exact_043.gr,975,1.33
exact_044.gr,3907,9.1
exact_045.gr,1960,3.47
exact_046.gr,1920,13.29
exact_047.gr,1920,26.36
exact_048.gr,1920,161.58
exact_049.gr,1920,43.37
exact_050.gr,1920,10.99
exact_051.gr,
exact_052.gr,396,252.04
exact_053.gr,174,0.04
exact_054.gr,194,0.09
exact_055.gr,1906,95.17
exact_056.gr,
exact_057.gr,
exact_058.gr,
exact_059.gr,999,174.8
exact_060.gr,281,2.68
exact_061.gr,193,0.16
exact_062.gr,1458,588.1
exact_063.gr,
exact_064.gr,1345,167.66
exact_065.gr,1378,45.72
exact_066.gr,
exact_067.gr,
exact_068.gr,665,401.32
exact_069.gr,
exact_070.gr,1343,155.14
exact_071.gr,
exact_072.gr,
exact_073.gr,135,0.07
exact_074.gr,1727,139.84
exact_075.gr,
exact_076.gr,
exact_077.gr,921,388.91
exact_078.gr,171,0.17
exact_079.gr,172,0.07
exact_080.gr,989,269.28
exact_081.gr,
exact_082.gr,695,37.17
exact_083.gr,
exact_084.gr,
exact_085.gr,191,0.05
exact_086.gr,394,0.4
exact_087.gr,
exact_088.gr,
exact_089.gr,286,0.32
exact_090.gr,622,280.64
exact_091.gr,902,160.15
exact_092.gr,
exact_093.gr,700,1050.45
exact_094.gr,946,99.8
exact_095.gr,290,0.22
exact_096.gr,287,0.92
exact_097.gr,
exact_098.gr,1265,126.64
exact_099.gr,156,0.01
exact_100.gr,776,414.71
