Name,Solution Size,Time Taken (seconds)
exact_001.gr,1490,0.2
exact_002.gr,1490,0.2
exact_003.gr,1490,0.22
exact_004.gr,1490,0.21
exact_005.gr,1490,0.22
exact_006.gr,1490,0.22
exact_007.gr,1490,0.23
exact_008.gr,1490,0.22
exact_009.gr,1490,0.23
exact_010.gr,1490,0.22
exact_011.gr,1117.5,0.15
exact_012.gr,1117.5,0.15
exact_013.gr,1490,0.22
exact_014.gr,1117.5,0.16
exact_015.gr,1117.5,0.15
exact_016.gr,1117.5,0.15
exact_017.gr,403.743,0.12
exact_018.gr,467.513,0.11
exact_019.gr,505.477,0.21
exact_020.gr,1218.67,0.2
exact_021.gr,1101.97,0.2
exact_022.gr,863.617,0.12
exact_023.gr,1256.2,0.21
exact_024.gr,1490,0.22
exact_025.gr,1681.2,0.4
exact_026.gr,1248.68,0.22
exact_027.gr,2447.15,0.5
exact_028.gr,4680.85,0.75
exact_029.gr,3970.89,0.65
exact_030.gr,5596.94,0.93
exact_031.gr,2074.2,0.29
exact_032.gr,5615.25,1.2
exact_033.gr,5283.25,5.35
exact_034.gr,5594.47,1.38
exact_035.gr,1490,0.2
exact_036.gr,5632.08,1.62
exact_037.gr,5668.85,1.41
exact_038.gr,286.096,0.24
exact_039.gr,6662.18,2.94
exact_040.gr,4490.58,9.66
exact_041.gr,1246.06,0.16
exact_042.gr,3927.34,0.69
exact_043.gr,1172.46,0.15
exact_044.gr,4817.82,0.58
exact_045.gr,2324.13,0.28
exact_046.gr,1490,0.24
exact_047.gr,1490,0.23
exact_048.gr,1490,0.23
exact_049.gr,1490,0.21
exact_050.gr,1490,0.22
