Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Isolated,Single Edge,Dominating,Counting Rule,Set Size,Time (s),Time Taken (seconds),Solution Size,Time Taken (seconds)_lp,Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_domsat,Time Taken (seconds)_domsat, Exec Time (seconds),Solution Size_domsat_reduced,Time Taken (seconds)_domsat_reduced, Exec Time (seconds)_domsat_reduced,Solution Size_nusc,Time Taken (seconds)_nusc, Exec Time (seconds)_nusc,Solution Size_nusc_reduced,Time Taken (seconds)_nusc_reduced, Exec Time (seconds)_nusc_reduced
exact_001.gr,8340,16080,0.000462419,30,717.937,2434,6220,3.85612,3.27089,0,0,5360,0,0,1.14159,,1490.0,0.2,,,,,1921,117.03,1800.98,1921.0,88.16,1810.23,1922,29.13,1797.89,1921.0,244.8,1809.98
exact_002.gr,8340,16080,0.000462419,32,715.052,2455,6220,3.85612,3.2706,0,0,5364,0,0,1.12854,,1490.0,0.2,,,,,1921,93.8,1799.57,1921.0,86.48,1806.53,1921,189.67,1799.57,1921.0,82.39,1806.07
exact_003.gr,8340,16080,0.000462419,30,717.974,2457,6220,3.85612,3.2703,0,0,5360,0,0,1.0988,,1490.0,0.22,,,,,1921,15.19,1800.96,1921.0,13.39,1806.65,1922,199.01,1800.23,1922.0,84.86,1809.7
exact_004.gr,8340,16080,0.000462419,30,716.172,2453,6220,3.85612,3.28114,0,0,5360,0,0,4.10272,,1490.0,0.21,,,,,1920,434.54,1799.58,1920.0,311.66,1809.74,1923,53.1,1800.97,1922.0,446.68,1806.06
exact_005.gr,8340,16080,0.000462419,34,714.462,2448,6220,3.85612,3.28581,0,0,5363,0,0,1.11663,,1490.0,0.22,,,,,1921,92.81,1798.05,1921.0,78.8,1806.11,1922,35.83,1800.96,1921.0,167.0,1811.42
exact_006.gr,8340,16080,0.000462419,34,717.179,2463,6220,3.85612,3.28055,0,0,5360,0,0,1.10313,,1490.0,0.22,,,,,1921,98.99,1800.92,1921.0,77.55,1809.84,1922,82.47,1797.88,1921.0,566.28,1806.51
exact_007.gr,8340,16080,0.000462419,36,716.526,2442,6220,3.85612,3.27704,0,0,5360,0,0,1.11934,,1490.0,0.23,,,,,1920,194.64,1799.22,1920.0,164.59,1806.16,1922,44.72,1802.18,1921.0,172.13,1808.19
exact_008.gr,8340,16080,0.000462419,32,716.306,2457,6220,3.85612,3.29907,0,0,5361,0,0,1.13553,,1490.0,0.22,,,,,1921,81.33,1802.61,1921.0,66.62,1809.78,1922,54.08,1799.42,1921.0,56.78,1810.01
exact_009.gr,8340,16080,0.000462419,32,716.794,2470,6220,3.85612,3.26252,0,0,5361,0,0,1.13096,,1490.0,0.23,,,,,1921,65.76,1799.22,1921.0,53.88,1806.19,1922,86.34,1799.25,1921.0,124.39,1806.17
exact_010.gr,8340,16080,0.000462419,32,716.447,2466,6220,3.85612,3.27938,0,0,5360,0,0,1.13342,,1490.0,0.22,,,,,1921,8.86,1799.96,1921.0,7.77,1810.27,1921,129.06,1802.19,1921.0,1037.29,1809.88
