Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
exact_001.gr,1922,29.13,1797.89
exact_002.gr,1921,189.67,1799.57
exact_003.gr,1922,199.01,1800.23
exact_004.gr,1923,53.1,1800.97
exact_005.gr,1922,35.83,1800.96
exact_006.gr,1922,82.47,1797.88
exact_007.gr,1922,44.72,1802.18
exact_008.gr,1922,54.08,1799.42
exact_009.gr,1922,86.34,1799.25
exact_010.gr,1921,129.06,1802.19
exact_011.gr,1441,198.29,1799.32
exact_012.gr,1440,106.74,1800.18
exact_013.gr,1921,136.44,1799.42
exact_014.gr,1442,94.95,1799.25
exact_015.gr,1441,21.32,1799.43
exact_016.gr,1441,35.07,1801.26
exact_017.gr,428,22.8,1799.4
exact_018.gr,491,3.48,1801.55
exact_019.gr,531,10.55,1796.64
exact_020.gr,1274,15.85,1803.89
exact_021.gr,1150,779.27,1798.02
exact_022.gr,902,37.77,1800.8
exact_023.gr,1312,9.74,1799.41
exact_024.gr,1921,100.97,1799.42
exact_025.gr,1753,548.42,1802.35
exact_026.gr,1295,38.62,1799.87
exact_027.gr,2548,370.86,1800.35
exact_028.gr,4869,521.92,1798.03
exact_029.gr,4129,94.61,1800.96
exact_030.gr,5828,187.12,1799.58
exact_031.gr,2153,693.94,1800.8
exact_032.gr,5856,1506.74,1800.98
exact_033.gr,5563,445.28,1797.22
exact_034.gr,5849,353.37,1802.81
exact_035.gr,1922,58.11,1800.32
exact_036.gr,5888,1370.59,1799.44
exact_037.gr,5916,401.39,1798.04
exact_038.gr,295,0.03,1802.52
exact_039.gr,6688,2.28,1802.7
exact_040.gr,4495,2.4,1803.06
exact_041.gr,1297,16.06,1800.97
exact_042.gr,4094,16.82,1799.59
exact_043.gr,1221,14.9,1799.44
exact_044.gr,5011,383.07,1799.43
exact_045.gr,2421,80.39,1800.96
exact_046.gr,1921,1213.7,1800.83
exact_047.gr,1922,109.92,1798.04
exact_048.gr,1922,187.32,1801.12
exact_049.gr,1922,211.76,1799.59
exact_050.gr,1920,116.34,1800.81

