Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
exact_001.gr,1921,244.8,1809.98
exact_002.gr,1921,82.39,1806.07
exact_003.gr,1922,84.86,1809.7
exact_004.gr,1922,446.68,1806.06
exact_005.gr,1921,167,1811.42
exact_006.gr,1921,566.28,1806.51
exact_007.gr,1921,172.13,1808.19
exact_008.gr,1921,56.78,1810.01
exact_009.gr,1921,124.39,1806.17
exact_010.gr,1921,1037.29,1809.88
exact_011.gr,1441,16.84,1803.14
exact_012.gr,1440,12.78,1803.24
exact_013.gr,1920,146.54,1809.91
exact_014.gr,1441,42.63,1803.16
exact_015.gr,1441,41.61,1803.3
exact_016.gr,1441,11.38,1807.32
exact_017.gr,386,1180.98,1799.88
exact_018.gr,458,0.86,1800.14
exact_019.gr,480,87.32,1803.71
exact_020.gr,1070,88.11,1803.38
exact_021.gr,1011,189.67,1802.88
exact_022.gr,758,1135.37,1804.82
exact_023.gr,1122,12.82,1802.07
exact_024.gr,1922,50.83,1810.5
exact_025.gr,1400,211.54,1809.13
exact_026.gr,1069,20.98,1804.32
exact_027.gr,2071,88.13,1821.18
exact_028.gr,3856,557.2,1863.67
exact_029.gr,3235,654.6,1846.33
exact_030.gr,4728,607.54,1890.21
exact_031.gr,1783,624.67,1814.74
exact_032.gr,4657,1186.2,1884.2
exact_033.gr,4788,665.9,1893.91
exact_034.gr,4714,415.08,1886.92
exact_035.gr,1922,38.21,1806.13
exact_036.gr,4860,1482.2,1891.06
exact_037.gr,4752,309.31,1891.34
exact_038.gr,217,0.03,1809.06
exact_039.gr,3134,2.3,4197.18
exact_041.gr,1104,16.87,1806.8
exact_042.gr,3193,894.06,1841.48
exact_043.gr,975,310.61,1802.99
exact_044.gr,3912,1172.96,1862.55
exact_045.gr,1963,327.17,1818.04
exact_046.gr,1922,319.13,1807.34
exact_047.gr,1922,47.05,1809.97
exact_048.gr,1922,224.82,1806.92
exact_049.gr,1922,46.91,1810.37
exact_050.gr,1921,481.93,1808.72
