Name,Isolated,Single Edge,Dominating Edge,Dominating Vertex,Counting Rule,Set Size,Time (s)
exact_030.gr,0,1100,770,443,0,1100,24.1341
exact_019.gr,0,51,26,17,0,51,0.288098
exact_015.gr,0,0,8040,4020,0,0,2.0441
exact_026.gr,0,226,203,117,0,226,1.27015
exact_013.gr,0,0,10722,5361,0,0,7.21898
exact_002.gr,0,0,10728,5364,0,0,3.62157
exact_024.gr,0,0,10722,5361,0,0,3.64083
exact_023.gr,0,190,137,83,0,190,1.42708
exact_010.gr,0,0,10720,5360,0,0,3.6147
exact_034.gr,0,1134,767,433,0,1134,28.2955
exact_041.gr,0,193,160,93,0,193,1.32174
exact_018.gr,0,33,41,22,0,33,0.237051
exact_047.gr,0,0,10722,5361,0,0,3.61537
exact_044.gr,0,1098,668,388,0,1098,16.9193
exact_021.gr,0,141,109,64,0,141,1.11876
exact_028.gr,0,1016,675,389,0,1016,19.8183
exact_008.gr,0,0,10722,5361,0,0,3.63109
exact_027.gr,0,477,453,267,0,477,4.87439
exact_004.gr,0,0,10720,5360,0,0,3.70116
exact_035.gr,0,0,10722,5361,0,0,3.65235
exact_009.gr,0,0,10722,5361,0,0,7.22312
exact_038.gr,0,78,1319,741,0,78,3.63425
exact_001.gr,0,0,10720,5360,0,0,3.62529
exact_031.gr,0,371,314,178,0,371,3.5653
exact_007.gr,0,0,10720,5360,0,0,3.64187
exact_022.gr,0,144,92,51,0,144,0.655046
exact_014.gr,0,0,8044,4022,0,0,2.0541
exact_025.gr,0,353,170,101,0,353,2.19212
exact_003.gr,0,0,10720,5360,0,0,3.63572
exact_006.gr,0,0,10720,5360,0,0,3.60958
exact_005.gr,0,0,10726,5363,0,0,3.62733
exact_046.gr,0,0,10720,5360,0,0,7.22187
exact_045.gr,0,457,345,197,0,457,4.27171
exact_011.gr,0,0,8044,4022,0,0,2.04208
exact_042.gr,0,901,677,398,0,901,11.4234
exact_043.gr,0,245,241,142,0,245,1.11674
exact_049.gr,0,0,10720,5360,0,0,3.66981
exact_012.gr,0,0,8040,4020,0,0,2.05547
exact_048.gr,0,0,10722,5361,0,0,3.63739
exact_016.gr,0,0,8042,4021,0,0,5.67026
exact_029.gr,0,896,560,310,0,896,11.4471
exact_032.gr,0,1199,887,514,0,1199,28.1823
exact_037.gr,0,1166,758,434,0,1166,25.7506
exact_050.gr,0,0,10720,5360,0,0,7.20302
exact_017.gr,0,42,39,22,0,42,0.186221
exact_020.gr,0,204,120,73,0,204,1.29932
exact_036.gr,0,1027,708,415,0,1027,25.8963
exact_033.gr,0,773,298,166,0,773,30.3884
exact_039.gr,0,3554,4457,18296,0,3554,676.955
exact_040.gr,0,2589,2424,20994,0,2589,4553.66
exact_068.gr,0,91,36,23,0,91,0.43582
exact_088.gr,0,0,981400,490700,0,0,730.1
exact_060.gr,0,0,27964,13982,0,0,1.97341
exact_098.gr,0,207,33216,16613,0,207,15.9582
exact_093.gr,0,0,981400,490700,0,0,733.671
exact_055.gr,0,443,38970,19513,0,443,22.0464
exact_070.gr,0,273,269,164,0,273,1.66496
exact_084.gr,0,0,1281600,640800,0,0,857.975
exact_095.gr,0,0,35336,17668,0,0,3.04894
exact_080.gr,0,235,76,52,0,235,0.90118
exact_096.gr,0,0,33776,16888,0,0,2.72283
exact_082.gr,0,89,77,44,0,89,0.436005
exact_074.gr,0,215,244855,122432,0,215,347.715
exact_079.gr,0,0,15930,7965,0,0,0.764826
exact_064.gr,0,191,31277,15643,0,191,11.7293
exact_089.gr,0,0,28316,14158,0,0,1.95467
exact_099.gr,0,0,14702,7351,0,0,0.705662
exact_063.gr,0,0,1281600,640800,0,0,851.755
exact_078.gr,0,0,16662,8331,0,0,0.806587
exact_066.gr,0,0,981400,490700,0,0,630.293
exact_075.gr,0,0,981400,490700,0,0,645.224
exact_094.gr,0,228,74,46,0,228,0.843293
exact_083.gr,0,280,121,78,0,280,5.85428
exact_091.gr,0,166,76,48,0,166,0.789334
exact_097.gr,0,0,981400,490700,0,0,637.381
exact_053.gr,0,0,17600,8800,0,0,0.974497
exact_086.gr,0,0,94100,47050,0,0,25.1593
exact_081.gr,0,86,37,23,0,86,1.32123
exact_077.gr,0,184,103,63,0,184,0.825772
exact_051.gr,0,87,50,29,0,87,0.573309
exact_054.gr,0,0,22278,11139,0,0,1.4647
exact_087.gr,0,0,981400,490700,0,0,626.401
exact_090.gr,0,58,21259,10652,0,58,5.47839
exact_092.gr,0,91,55,34,0,91,1.23801
exact_062.gr,0,182,87953,43982,0,182,62.7748
exact_100.gr,0,38,91036,45521,0,38,50.1228
exact_067.gr,0,170,57,37,0,170,0.653883
exact_057.gr,0,0,981400,490700,0,0,639.135
exact_061.gr,0,0,25732,12866,0,0,1.79055
exact_072.gr,0,0,1281600,640800,0,0,857.714
exact_058.gr,0,88,11,7,0,88,0.427166
exact_076.gr,0,223,73,44,0,223,1.74113
exact_071.gr,0,358,167,96,0,358,5.03494
exact_059.gr,0,183,56,38,0,183,0.916439
exact_085.gr,0,0,18736,9368,0,0,1.028
exact_056.gr,0,169,97,56,0,169,1.67443
exact_073.gr,0,0,12828,6414,0,0,0.531321
exact_069.gr,0,96,58,32,0,96,1.13887
exact_052.gr,0,41,13,8,0,41,0.161211
exact_065.gr,0,372,231,148,0,372,1.70959
