Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,0
exact_002.gr,1920,0
exact_003.gr,1920,0
exact_004.gr,1920,0
exact_005.gr,1920,0
exact_006.gr,1920,0
exact_007.gr,1920,0
exact_008.gr,1920,0
exact_009.gr,1920,0
exact_010.gr,1920,0
exact_011.gr,1440,0
exact_012.gr,1440,0
exact_013.gr,1920,0
exact_014.gr,1440,0
exact_015.gr,1440,0
exact_016.gr,1440,0
exact_017.gr,428,602
exact_018.gr,491,641
exact_019.gr,530,657
exact_020.gr,1274,4
exact_021.gr,1149,210
exact_022.gr,902,1
exact_023.gr,1312,1
exact_024.gr,1920,0
exact_025.gr,,1964
exact_026.gr,1295,725
exact_027.gr,2546,1719
exact_028.gr,4863,5
exact_029.gr,4128,3
exact_030.gr,5819,13
exact_031.gr,2151,104
exact_032.gr,5845,11
exact_033.gr,,1964
exact_034.gr,,1962
exact_035.gr,1920,0
exact_036.gr,5876,46
exact_037.gr,,1964
exact_038.gr,295,455
exact_039.gr,6688,6
exact_040.gr,4495,33
exact_041.gr,1297,0
exact_042.gr,4086,4
exact_043.gr,1220,3
exact_044.gr,5005,7
exact_045.gr,2417,1
exact_046.gr,1920,0
exact_047.gr,1920,0
exact_048.gr,1920,0
exact_049.gr,1920,0
exact_050.gr,1920,0
exact_051.gr,849,80
exact_052.gr,437,1131
exact_053.gr,174,0
exact_054.gr,194,1
exact_055.gr,2349,541
exact_056.gr,,2000
exact_057.gr,,2001
exact_058.gr,,1967
exact_059.gr,1182,1879
exact_060.gr,281,1
exact_061.gr,193,1
exact_062.gr,,1963
exact_063.gr,,1962
exact_064.gr,1536,4
exact_065.gr,1750,839
exact_066.gr,,1963
exact_067.gr,989,5
exact_068.gr,756,791
exact_069.gr,,1964
exact_070.gr,1616,1308
exact_071.gr,,1964
exact_072.gr,,1961
exact_073.gr,135,0
exact_074.gr,1942,11
exact_075.gr,,1961
exact_076.gr,,1999
exact_077.gr,1105,30
exact_078.gr,171,0
exact_079.gr,172,1
exact_080.gr,1224,379
exact_081.gr,,1997
exact_082.gr,784,6
exact_083.gr,1866,1289
exact_084.gr,,1997
exact_085.gr,191,0
exact_086.gr,394,14
exact_087.gr,,1997
exact_088.gr,,2001
exact_089.gr,286,1
exact_090.gr,680,30
exact_091.gr,1068,1078
exact_092.gr,,2001
exact_093.gr,,1998
exact_094.gr,1174,713
exact_095.gr,290,2
exact_096.gr,287,1
exact_097.gr,,2001
exact_098.gr,1472,1
exact_099.gr,156,1
exact_100.gr,814,1959
