Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,9
exact_002.gr,1920,2
exact_003.gr,1920,3
exact_004.gr,1920,3
exact_005.gr,1920,9
exact_006.gr,1920,7
exact_007.gr,1920,15
exact_008.gr,1920,3
exact_009.gr,1920,3
exact_010.gr,1920,2
exact_011.gr,1440,1
exact_012.gr,1440,4
exact_013.gr,1920,3
exact_014.gr,1440,1
exact_015.gr,1440,1
exact_016.gr,1440,1
exact_017.gr,386,354
exact_018.gr,458,621
exact_019.gr,479,575
exact_020.gr,1070,2
exact_021.gr,1008,4
exact_022.gr,758,1
exact_023.gr,1122,2
exact_024.gr,1920,2
exact_025.gr,1399,1070
exact_026.gr,1069,601
exact_027.gr,2069,6
exact_028.gr,3847,22
exact_029.gr,3232,11
exact_030.gr,4719,28
exact_031.gr,1780,29
exact_032.gr,4646,781
exact_033.gr,,2001
exact_034.gr,,2002
exact_035.gr,1920,3
exact_036.gr,4849,88
exact_037.gr,,2001
exact_038.gr,217,466
exact_039.gr,3134,701
exact_040.gr,,2001
exact_041.gr,1104,1
exact_042.gr,3185,12
exact_043.gr,975,1
exact_044.gr,3907,21
exact_045.gr,1960,5
exact_046.gr,1920,2
exact_047.gr,1920,26
exact_048.gr,1920,2
exact_049.gr,1920,2
exact_050.gr,1920,10
exact_051.gr,,2000
exact_052.gr,396,46
exact_053.gr,174,1
exact_054.gr,194,2
exact_055.gr,1906,67
exact_056.gr,1343,18
exact_057.gr,,2001
exact_058.gr,,2001
exact_059.gr,999,989
exact_060.gr,281,2
exact_061.gr,193,3
exact_062.gr,,2000
exact_063.gr,,1997
exact_064.gr,1345,907
exact_065.gr,1378,527
exact_066.gr,,2001
exact_067.gr,,2000
exact_068.gr,665,807
exact_069.gr,,1997
exact_070.gr,1343,261
exact_071.gr,,1997
exact_072.gr,,2000
exact_073.gr,135,1
exact_074.gr,1727,364
exact_075.gr,,2000
exact_076.gr,,2001
exact_077.gr,921,108
exact_078.gr,171,1
exact_079.gr,172,1
exact_080.gr,989,1353
exact_081.gr,,2000
exact_082.gr,695,6
exact_083.gr,1586,1822
exact_084.gr,,1974
exact_085.gr,191,1
exact_086.gr,394,27
exact_087.gr,,1991
exact_088.gr,,1997
exact_089.gr,286,3
exact_090.gr,622,65
exact_091.gr,902,65
exact_092.gr,,2000
exact_093.gr,,2001
exact_094.gr,946,8
exact_095.gr,290,4
exact_096.gr,287,3
exact_097.gr,,2001
exact_098.gr,1265,15
exact_099.gr,156,1
exact_100.gr,776,1588
