Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,1
exact_002.gr,1920,1
exact_003.gr,1920,2
exact_004.gr,1920,1
exact_005.gr,1920,1
exact_006.gr,1920,1
exact_007.gr,1920,1
exact_008.gr,1920,2
exact_009.gr,1920,1
exact_010.gr,1920,2
exact_011.gr,1440,0
exact_012.gr,1440,1
exact_013.gr,1920,1
exact_014.gr,1440,1
exact_015.gr,1440,0
exact_016.gr,1440,1
exact_017.gr,386,334
exact_018.gr,458,609
exact_019.gr,479,586
exact_020.gr,1070,79
exact_021.gr,1008,2
exact_022.gr,758,230
exact_023.gr,1122,7
exact_024.gr,1920,1
exact_025.gr,1399,925
exact_026.gr,1069,627
exact_027.gr,2069,5
exact_028.gr,3847,17
exact_029.gr,3232,8
exact_030.gr,4719,24
exact_031.gr,1780,33
exact_032.gr,4646,37
exact_033.gr,,1998
exact_034.gr,4708,45
exact_035.gr,1920,1
exact_036.gr,,1997
exact_037.gr,,2001
exact_038.gr,217,104
exact_039.gr,3134,556
exact_040.gr,,2001
exact_041.gr,1104,2
exact_042.gr,3185,13
exact_043.gr,975,1
exact_044.gr,3907,14
exact_045.gr,1960,4
exact_046.gr,1920,1
exact_047.gr,1920,2
exact_048.gr,1920,2
exact_049.gr,1920,1
exact_050.gr,1920,1
