Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,1
exact_002.gr,1920,1
exact_003.gr,1920,3
exact_004.gr,1920,1
exact_005.gr,1920,3
exact_006.gr,1920,2
exact_007.gr,1920,17
exact_008.gr,1920,6
exact_009.gr,1920,8
exact_010.gr,1920,1
exact_011.gr,1440,1
exact_012.gr,1440,0
exact_013.gr,1920,3
exact_014.gr,1440,1
exact_015.gr,1440,0
exact_016.gr,1440,1
exact_017.gr,386,598
exact_018.gr,458,778
exact_019.gr,479,597
exact_020.gr,1070,2
exact_021.gr,1008,2
exact_022.gr,758,0
exact_023.gr,1122,25
exact_024.gr,1920,2
exact_025.gr,1399,812
exact_026.gr,1069,6
exact_027.gr,2069,3
exact_028.gr,3847,9
exact_029.gr,3232,10
exact_030.gr,4719,13
exact_031.gr,1780,10
exact_032.gr,4646,804
exact_033.gr,,1997
exact_034.gr,4708,153
exact_035.gr,1920,1
exact_036.gr,,1997
exact_037.gr,,2001
exact_038.gr,217,471
exact_039.gr,3134,118
exact_040.gr,,2001
exact_041.gr,1104,129
exact_042.gr,3185,6
exact_043.gr,975,1
exact_044.gr,3907,10
exact_045.gr,1960,6
exact_046.gr,1920,1
exact_047.gr,1920,3
exact_048.gr,1920,1
exact_049.gr,1920,6
exact_050.gr,1920,4
exact_051.gr,,1997
exact_052.gr,396,49
exact_053.gr,174,1
exact_054.gr,194,2
exact_055.gr,1906,87
exact_056.gr,1343,328
exact_057.gr,,2002
