Name,Solution Size,Time Taken (seconds)
exact_001.gr,1920,10
exact_002.gr,1920,2
exact_003.gr,1920,2
exact_004.gr,1920,4
exact_005.gr,1920,5
exact_006.gr,1920,11
exact_007.gr,1920,15
exact_008.gr,1920,2
exact_009.gr,1920,3
exact_010.gr,1920,2
exact_011.gr,1440,1
exact_012.gr,1440,1
exact_013.gr,1920,3
exact_014.gr,1440,4
exact_015.gr,1440,1
exact_016.gr,1440,2
exact_017.gr,428,340
exact_018.gr,491,554
exact_019.gr,530,122
exact_020.gr,1274,1589
exact_021.gr,1149,2
exact_022.gr,902,7
exact_023.gr,1312,2
exact_024.gr,1920,2
exact_025.gr,1752,947
exact_026.gr,1295,35
exact_027.gr,2546,6
exact_028.gr,4863,23
exact_029.gr,4128,26
exact_030.gr,5819,29
exact_031.gr,2151,904
exact_032.gr,5845,35
exact_033.gr,,1997
exact_034.gr,,2001
exact_035.gr,1920,3
exact_036.gr,5876,46
exact_037.gr,,1997
exact_038.gr,295,144
exact_039.gr,6688,1456
exact_040.gr,,2000
exact_041.gr,1297,2
exact_042.gr,4086,28
exact_043.gr,1220,1
exact_044.gr,5005,21
exact_045.gr,2417,5
exact_046.gr,1920,2
exact_047.gr,1920,27
exact_048.gr,1920,2
exact_049.gr,1920,2
exact_050.gr,1920,14
