Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
heuristic_001.gr,302353,299.62,300.361
heuristic_002.gr,188237,292.9,303.123
heuristic_003.gr,609456,6.77,302.493
heuristic_004.gr,514371,300,305.012
heuristic_005.gr,1029,208.21,300.489
heuristic_006.gr,992,40.64,303.823
heuristic_007.gr,47499,289.46,300.287
heuristic_008.gr,1017,53.27,300.482
heuristic_009.gr,178532,272.11,303.016
heuristic_010.gr,135869,288.07,299.279
heuristic_011.gr,1093,153.5,304.484
heuristic_012.gr,219556,218.84,299.62
heuristic_013.gr,1042,11.45,303.957
heuristic_014.gr,114107,223.64,299.18
heuristic_015.gr,2927,21.81,314.35
heuristic_016.gr,2933,218.79,327.486
heuristic_017.gr,2937,62.85,326.234
heuristic_018.gr,150732,296.48,299.417
heuristic_019.gr,2829,57.28,320.653
heuristic_020.gr,1093,238.95,304.234
heuristic_021.gr,149827,296.06,299.295
heuristic_022.gr,81942,178.92,295.523
heuristic_023.gr,1012,273.88,307.578
heuristic_024.gr,205443,217.98,302.392
heuristic_025.gr,102434,259.36,298.952
heuristic_026.gr,2902,85.78,311.533
heuristic_027.gr,129632,285.1,299.014
heuristic_028.gr,177855,297.32,301.849
heuristic_029.gr,274205,299.25,299.879
heuristic_030.gr,1094,0.8,304.177
heuristic_031.gr,1093,141.28,300.578
heuristic_032.gr,86615,232.82,302.59
heuristic_033.gr,45664,291.15,300.268
heuristic_034.gr,174245,248.45,299.382
heuristic_035.gr,277454,240.87,303.464
heuristic_036.gr,2930,148.72,306.546
heuristic_037.gr,2930,19.28,307.193
heuristic_038.gr,223965,282.68,299.569
heuristic_039.gr,140325,275.37,302.867
heuristic_040.gr,166275,262.95,299.394
heuristic_041.gr,1012,48.88,303.965
heuristic_042.gr,2910,83.98,311.986
heuristic_043.gr,1055,260.84,304.169
heuristic_044.gr,2937,92.5,324.592
heuristic_045.gr,42482,237.53,300.564
heuristic_046.gr,150207,293.92,302.927
heuristic_047.gr,116669,170.62,299.116
heuristic_048.gr,125035,237.45,302.751
heuristic_049.gr,2937,83.59,333.621
heuristic_050.gr,100455,152.3,299.078
heuristic_051.gr,119322,234.31,302.759
heuristic_052.gr,134581,237.74,299.199
heuristic_053.gr,1094,15.21,300.527
heuristic_054.gr,106780,221.78,302.681
heuristic_055.gr,268256,179.85,299.77
heuristic_056.gr,1072,177.64,304.526
heuristic_057.gr,1010,174.15,300.527
heuristic_058.gr,1035,255.93,303.964
heuristic_059.gr,2829,72.05,333.58
heuristic_060.gr,2821,107.89,313.534
heuristic_061.gr,358726,299.64,300.667
heuristic_062.gr,1014,79.29,300.113
heuristic_063.gr,1092,89.95,299.845
heuristic_064.gr,575504,265.17,303.021
heuristic_065.gr,2910,50.85,309.959
heuristic_066.gr,1045,162.53,299.616
heuristic_067.gr,2936,167.18,308.334
heuristic_068.gr,86210,154.66,298.927
heuristic_069.gr,1093,79.36,300.025
heuristic_070.gr,397008,218.21,303.532
heuristic_071.gr,1093,251.82,300.057
heuristic_072.gr,44516,51.38,304.877
heuristic_073.gr,144642,295.79,299.127
heuristic_074.gr,329804,299.52,303.733
heuristic_075.gr,176752,189.15,299.327
heuristic_076.gr,13214,265.27,299.755
heuristic_077.gr,430767,299.9,304.284
heuristic_078.gr,2829,72.66,333.552
heuristic_079.gr,117365,154.8,302.681
heuristic_080.gr,1053,6.33,298.25
heuristic_081.gr,184206,224.67,302.927
heuristic_082.gr,337948,234.53,300.823
heuristic_083.gr,1072,139.08,299.793
heuristic_084.gr,227765,221.47,302.053
heuristic_085.gr,97931,186.85,298.743
heuristic_086.gr,1093,149.13,302.738
heuristic_087.gr,75906,222.01,298.643
heuristic_088.gr,193176,88.89,301.877
heuristic_089.gr,1093,173.29,299.734
heuristic_090.gr,1091,160.9,303.648
heuristic_091.gr,339809,276.6,299.392
heuristic_092.gr,212649,274.71,302.143
heuristic_093.gr,213122,0.03,300.307
heuristic_094.gr,339573,257.26,302.518
heuristic_095.gr,312842,222.88,302.427
heuristic_096.gr,96454,299.64,298.779
heuristic_097.gr,2934,75.18,309.733
heuristic_098.gr,349509,295.69,299.518
heuristic_099.gr,209577,220.23,302.067
heuristic_100.gr,144776,289.77,298.876
