Name,Solution Size,Time Taken (seconds)
exact_001.gr,3,0
exact_003.gr,4,0
exact_005.gr,4,0
exact_007.gr,2,0
exact_009.gr,2,0
exact_011.gr,3,0
exact_013.gr,3,0
exact_015.gr,3,0
exact_017.gr,3,0
exact_019.gr,7,0
exact_021.gr,10,0
exact_023.gr,4,0
exact_025.gr,7,0
exact_027.gr,9,0
exact_029.gr,14,0
exact_031.gr,13,0
exact_033.gr,11,0
exact_035.gr,17,0
exact_037.gr,11,0
exact_039.gr,9,0
exact_041.gr,13,0
exact_043.gr,8,0
exact_045.gr,15,0
exact_047.gr,15,0
exact_049.gr,20,0
exact_051.gr,7,0
exact_053.gr,15,0
exact_055.gr,1,0
exact_057.gr,24,0
exact_059.gr,25,0
exact_061.gr,20,0
exact_063.gr,29,0
exact_065.gr,28,0
exact_067.gr,33,0
exact_069.gr,32,0
exact_071.gr,2,0
exact_073.gr,3,0
exact_075.gr,2,0
exact_077.gr,2,0
exact_079.gr,2,0
exact_081.gr,2,0
exact_083.gr,2,0
exact_085.gr,3,0
exact_087.gr,3,0
exact_089.gr,3,0
exact_091.gr,79,25.49
exact_093.gr,53,5.53
exact_095.gr,86,0
exact_097.gr,175,0
exact_099.gr,161,0
exact_101.gr,109,0.01
exact_103.gr,137,20.84
exact_105.gr,36,0
exact_107.gr,37,0
exact_109.gr,6,0
exact_111.gr,120,18.33
exact_113.gr,213,2.61
exact_115.gr,216,42.52
exact_117.gr,34,0
exact_119.gr,133,0
exact_121.gr,479,0
exact_123.gr,200,18.66
exact_125.gr,297,4.98
exact_127.gr,270,0.23
exact_129.gr,140,0.22
exact_131.gr,276,5.17
exact_133.gr,75,0
exact_135.gr,249,0
exact_137.gr,125,0.1
exact_139.gr,154,6.75
exact_141.gr,352,16.17
exact_143.gr,1143,1.37
exact_145.gr,1614,21.66
exact_147.gr,437,0
exact_149.gr,472,0.18
exact_151.gr,40,0
exact_153.gr,288,1.49
exact_155.gr,70,0
exact_157.gr,835,0
exact_159.gr,626,0.02
exact_161.gr,721,0.74
exact_163.gr,1031,0.42
exact_165.gr,756,0.17
exact_167.gr,802,0.52
exact_169.gr,820,19.73
exact_171.gr,606,1.12
exact_173.gr,184,0
exact_175.gr,1299,1.53
exact_177.gr,707,0
exact_179.gr,601,1.11
exact_181.gr,602,0.3
exact_183.gr,666,1.13
exact_185.gr,738,1.36
exact_187.gr,1106,51.45
exact_189.gr,195,0
exact_191.gr,1329,0
exact_193.gr,540,0
exact_195.gr,1001,0
exact_197.gr,348,0
exact_199.gr,4332,0
