Name,Solution Size,Time Taken (seconds)
exact_001.gr,2.44444,0
exact_003.gr,3.33333,0
exact_005.gr,3,0
exact_007.gr,2,0
exact_009.gr,1.59804,0
exact_011.gr,3,0
exact_013.gr,3,0
exact_015.gr,2.5,0
exact_017.gr,2.63636,0
exact_019.gr,5.71429,0
exact_021.gr,10,0
exact_023.gr,4,0
exact_025.gr,7,0
exact_027.gr,8.5,0
exact_029.gr,13.25,0
exact_031.gr,11.7778,0
exact_033.gr,10.0016,0
exact_035.gr,17,0
exact_037.gr,11,0
exact_039.gr,8.5,0
exact_041.gr,13,0
exact_043.gr,8,0
exact_045.gr,15,0
exact_047.gr,15,0
exact_049.gr,19.2,0
exact_051.gr,7,0
exact_053.gr,15,0
exact_055.gr,1,0.01
exact_057.gr,23.4167,0
exact_059.gr,24.4167,0
exact_061.gr,20,0
exact_063.gr,29,0
exact_065.gr,28,0
exact_067.gr,33,0
exact_069.gr,32,0
exact_071.gr,2,0.01
exact_073.gr,2.05882,0.01
exact_075.gr,2,0.01
exact_077.gr,1.8,0.01
exact_079.gr,2,0.01
exact_081.gr,1.85714,0.02
exact_083.gr,2,0.02
exact_085.gr,1.50207,0.1
exact_087.gr,1.50825,0.09
exact_089.gr,1.34087,0.11
exact_091.gr,73.2831,0.07
exact_093.gr,39.1266,1.38
exact_095.gr,83.9594,0.12
exact_097.gr,175,0.01
exact_099.gr,161,0.01
exact_101.gr,103.992,3.16
exact_103.gr,107.713,1.36
exact_105.gr,32.6738,0.17
exact_107.gr,36.25,0.07
exact_109.gr,6,0.11
exact_111.gr,118.478,0.38
exact_113.gr,177.983,1.48
exact_115.gr,199.364,1.08
exact_117.gr,34,0.03
exact_119.gr,130.952,0.04
exact_121.gr,479,0.01
exact_123.gr,198.791,0.11
exact_125.gr,278.12,0.51
exact_127.gr,258.736,0.65
exact_129.gr,113.366,0.16
exact_131.gr,266.99,0.64
exact_133.gr,75,0.02
exact_135.gr,249,0.01
exact_137.gr,98.0984,0.48
exact_139.gr,135.147,1.11
exact_141.gr,294.593,0.81
exact_143.gr,1109.42,0.18
exact_145.gr,1604.22,0.2
exact_147.gr,437,0.02
exact_149.gr,345.946,97.18
exact_151.gr,22.5,0.18
exact_153.gr,278.204,1.84
exact_155.gr,70,0.05
exact_157.gr,835,0.01
exact_159.gr,620.9,0.04
exact_161.gr,706.694,0.1
exact_163.gr,1006.19,0.15
exact_165.gr,744.881,0.09
exact_167.gr,797.643,0.1
exact_169.gr,817.083,0.13
exact_171.gr,583.616,0.22
exact_173.gr,133.443,1.65
exact_175.gr,1263.46,0.24
exact_177.gr,706.333,0.02
exact_179.gr,597.06,0.13
exact_181.gr,601,0.06
exact_183.gr,659.053,0.5
exact_185.gr,671.162,1.06
exact_187.gr,931.136,1.1
exact_189.gr,195,0.13
exact_191.gr,1323.52,0.27
exact_193.gr,540,0.06
exact_195.gr,1000.82,0.07
exact_197.gr,348,0.03
exact_199.gr,4328.33,0.04
