Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Solution Size,Time Taken (seconds),Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_highs_reduced,Time Taken (seconds)_highs_reduced,Isolated,Single Edge,Dominating,Set Size
exact_001.gr,19,64,0.374269,8,2.13889,3,46,6.73684,0.848659,3.0,0.01,3.0,0.0,3.0,0.0,3.0,0.01,0,0,0,0
exact_003.gr,25,97,0.323333,16,1.6514,5,106,7.76,3.04998,4.0,0.0,4.0,0.01,4.0,0.01,4.0,0.01,0,0,0,0
exact_005.gr,27,117,0.333333,17,1.63095,4,134,8.66667,3.10316,4.0,0.01,4.0,0.0,4.0,0.0,4.0,0.01,0,0,3,0
exact_007.gr,28,205,0.542328,22,1.23182,6,678,14.6429,4.92236,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1
exact_009.gr,28,228,0.603175,24,1.12681,3,800,16.2857,3.82527,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0,0,2,0
exact_011.gr,29,174,0.428571,19,1.51662,4,402,12.0,4.59385,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0,1,1,1
exact_013.gr,30,155,0.356322,19,1.59776,6,252,10.3333,3.9525,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0,0,1,0
exact_015.gr,30,178,0.409195,22,1.37917,4,333,11.8667,3.50935,3.0,0.0,3.0,0.02,3.0,0.02,3.0,0.01,0,0,3,0
exact_017.gr,30,207,0.475862,21,1.40869,6,540,13.8,4.48999,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0,0,4,0
exact_019.gr,32,90,0.181452,11,3.34087,8,28,5.625,1.96453,7.0,0.02,7.0,0.01,7.0,0.01,7.0,0.01,0,0,1,0
exact_021.gr,33,46,0.0871212,8,5.6381,12,3,2.78788,1.71901,10.0,0.0,10.0,0.0,4.0,0.0,4.0,0.0,0,6,1,6
exact_023.gr,36,141,0.22381,28,1.33029,6,181,7.83333,6.69784,4.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0,1,1,1
exact_025.gr,42,94,0.109175,6,6.32381,8,33,4.47619,1.07433,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0,0,14,0
exact_027.gr,46,116,0.112077,10,6.27024,9,106,5.04348,1.84104,9.0,0.01,9.0,0.0,9.0,0.0,9.0,0.0,0,0,47,0
exact_029.gr,48,64,0.0567376,9,10.0667,16,5,2.66667,1.46249,14.0,0.0,14.0,0.0,12.0,0.0,12.0,0.01,0,2,1,2
exact_031.gr,48,80,0.070922,7,8.56667,19,5,3.33333,1.0274,13.0,0.01,13.0,0.03,12.0,0.01,12.0,0.01,0,1,0,1
exact_033.gr,51,110,0.0862745,6,8.03095,13,32,4.31373,1.0754,11.0,0.03,11.0,0.01,11.0,0.01,11.0,0.03,0,0,2,0
exact_035.gr,52,53,0.0399698,4,16.6667,19,0,2.03846,0.27467,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.01,0,0,0,0
exact_037.gr,52,96,0.0723982,8,8.4,16,19,3.69231,1.23317,11.0,0.0,11.0,0.0,11.0,0.01,11.0,0.0,0,0,16,0
exact_039.gr,53,157,0.113933,16,5.75696,10,185,5.92453,2.91288,9.0,0.01,9.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,58,0
exact_041.gr,54,100,0.0698812,24,5.47229,19,37,3.7037,3.41364,13.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,0,2,7,2
exact_043.gr,54,159,0.111111,12,5.81692,9,188,5.88889,2.13148,8.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,89,0
