Name,Solution Size,Time Taken (seconds)
exact_001.gr,3,0
exact_003.gr,4,0
exact_005.gr,4,0
exact_007.gr,2,0
exact_009.gr,2,0
exact_011.gr,3,0
exact_013.gr,3,0
exact_015.gr,3,0
exact_017.gr,3,0
exact_019.gr,7,0
exact_021.gr,10,0
exact_023.gr,4,0
exact_025.gr,7,0
exact_027.gr,9,0
exact_029.gr,14,0
exact_031.gr,13,0
exact_033.gr,11,0
exact_035.gr,17,0
exact_037.gr,11,0
exact_039.gr,9,0
exact_041.gr,13,0
exact_043.gr,8,0
exact_045.gr,15,0
exact_047.gr,15,0
exact_049.gr,20,0
exact_051.gr,7,0
exact_053.gr,15,0
exact_055.gr,1,0
exact_057.gr,24,0
exact_059.gr,25,0
exact_061.gr,20,0
exact_063.gr,29,0
exact_065.gr,28,0
exact_067.gr,33,0
exact_069.gr,32,0
exact_071.gr,2,0
exact_073.gr,3,0
exact_075.gr,2,0
exact_077.gr,2,0
exact_079.gr,2,0
exact_081.gr,2,0
exact_083.gr,2,0
exact_085.gr,3,0
exact_087.gr,3,0
exact_089.gr,3,0
exact_091.gr,79,0.03
exact_093.gr,53,19.43
exact_095.gr,86,0.01
exact_097.gr,175,0
exact_099.gr,161,0
exact_101.gr,109,0
exact_103.gr,138,0.39
exact_105.gr,36,0
exact_107.gr,37,0
exact_109.gr,6,0
exact_111.gr,120,0.12
exact_113.gr,213,14.57
exact_115.gr,216,11.88
exact_117.gr,34,0
exact_119.gr,133,0.01
exact_121.gr,479,0
exact_123.gr,200,0.45
exact_125.gr,295,17.15
exact_127.gr,269,9.66
exact_129.gr,140,0
exact_131.gr,276,0.41
exact_133.gr,75,0
exact_135.gr,249,0
exact_137.gr,125,0.04
exact_139.gr,155,15.23
exact_141.gr,351,4.66
exact_143.gr,1143,3.27
exact_145.gr,1614,36.5
exact_147.gr,437,0
exact_149.gr,472,0.28
exact_151.gr,40,0
exact_153.gr,288,27.05
exact_155.gr,70,0
exact_157.gr,835,0
exact_159.gr,626,0.05
exact_161.gr,721,0.11
exact_163.gr,1031,0.53
exact_165.gr,756,0.31
exact_167.gr,802,3.93
exact_169.gr,820,12.12
exact_171.gr,606,1.55
exact_173.gr,184,0.03
exact_175.gr,1299,0.25
exact_177.gr,707,0
exact_179.gr,601,1.15
exact_181.gr,601,0.5
exact_183.gr,666,2.03
exact_185.gr,738,2.94
exact_187.gr,1104,56.69
exact_189.gr,195,0
exact_191.gr,1329,0.01
exact_193.gr,540,0
exact_195.gr,1001,0.05
exact_197.gr,348,0
exact_199.gr,4332,0
