Name,Solution Size,Time Taken (seconds)
exact_001.gr,3,0
exact_003.gr,4,0.01
exact_005.gr,4,0
exact_007.gr,1,0
exact_009.gr,2,0
exact_011.gr,2,0
exact_013.gr,3,0
exact_015.gr,3,0.02
exact_017.gr,3,0
exact_019.gr,7,0.01
exact_021.gr,4,0
exact_023.gr,3,0
exact_025.gr,7,0
exact_027.gr,9,0
exact_029.gr,12,0
exact_031.gr,12,0.01
exact_033.gr,11,0.01
exact_035.gr,17,0
exact_037.gr,11,0.01
exact_039.gr,-1,-1
exact_041.gr,11,0
exact_043.gr,-1,-1
exact_045.gr,11,0
exact_047.gr,12,0
exact_049.gr,19,0.01
exact_051.gr,5,0
exact_053.gr,-1,-1
exact_055.gr,-1,-1
exact_057.gr,17,0
exact_059.gr,17,0
exact_061.gr,-1,-1
exact_063.gr,14,0
exact_065.gr,-1,-1
exact_067.gr,8,0
exact_069.gr,-1,-1
exact_071.gr,2,0.03
exact_073.gr,3,0.01
exact_075.gr,2,0.03
exact_077.gr,2,0.01
exact_079.gr,2,0.01
exact_081.gr,2,0.01
exact_083.gr,2,0.02
exact_085.gr,3,4.42
exact_087.gr,3,2.9
exact_089.gr,3,3.04
exact_091.gr,-1,-1
exact_093.gr,
exact_095.gr,86,5.07
exact_097.gr,104,0
exact_099.gr,98,0
exact_101.gr,109,54.47
exact_103.gr,
exact_105.gr,36,15.33
exact_107.gr,36,0.06
exact_109.gr,6,0.07
exact_111.gr,120,10.16
exact_113.gr,
exact_115.gr,
exact_117.gr,-1,-1
exact_119.gr,-1,-1
exact_121.gr,288,0.01
exact_123.gr,133,6.84
exact_125.gr,
exact_127.gr,
exact_129.gr,
exact_131.gr,
exact_133.gr,69,0.01
exact_135.gr,158,0
exact_137.gr,
exact_139.gr,
exact_141.gr,
exact_143.gr,-1,-1
exact_145.gr,1605,10.88
exact_147.gr,221,0.01
exact_149.gr,
exact_151.gr,
exact_153.gr,
exact_155.gr,-1,-1
exact_157.gr,36,0
exact_159.gr,-1,-1
exact_161.gr,691,0.15
exact_163.gr,1005,0.2
exact_165.gr,748,0.26
exact_167.gr,799,1.44
exact_169.gr,-1,-1
exact_171.gr,
exact_173.gr,
exact_175.gr,1270,0.32
exact_177.gr,-1,-1
exact_179.gr,499,8.62
exact_181.gr,-1,-1
exact_183.gr,
exact_185.gr,
exact_187.gr,
exact_189.gr,195,0.12
exact_191.gr,168,1.08
exact_193.gr,251,0.06
exact_195.gr,501,0.06
exact_197.gr,121,0.01
exact_199.gr,-1,-1
